Timestamp,Used Memory (MB),CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,Disk Usage (%),TX (MB),RX (MB),Open Ports,Label,Attack Technique
2024-08-24 21:57:26,145.0,5.04,4.51,2.66,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 44818,30003 22,4840 30003",0,0
2024-08-24 21:57:36,145.0,4.96,4.51,2.68,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 44818,30003 22,4840 30003",0,0
2024-08-24 21:57:47,145.0,4.89,4.51,2.7,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 44818,30003 22,4840 30003",0,0
2024-08-24 21:57:57,147.0,4.84,4.52,2.73,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:08,147.0,5.17,4.6,2.78,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:18,147.0,5.14,4.61,2.8,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:29,147.0,5.05,4.61,2.82,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:39,147.0,4.97,4.6,2.84,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:50,147.0,4.9,4.6,2.86,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:59:00,147.0,4.76,4.58,2.87,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:11,148.0,4.87,4.61,2.9,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:21,148.0,4.81,4.61,2.92,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:32,148.0,4.69,4.59,2.93,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:42,148.0,4.73,4.6,2.95,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:53,148.0,4.93,4.65,2.99,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:03,148.0,4.79,4.63,3.01,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:14,148.0,4.74,4.63,3.02,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:24,148.0,4.7,4.62,3.04,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:34,148.0,4.75,4.64,3.06,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:45,150.0,4.71,4.63,3.08,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:55,151.0,4.76,4.64,3.1,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:06,151.0,4.96,4.69,3.13,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:16,150.0,4.88,4.68,3.14,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:27,151.0,4.83,4.68,3.16,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:37,151.0,4.78,4.67,3.17,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:48,151.0,4.82,4.69,3.2,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:58,148.0,4.86,4.7,3.22,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:02:09,149.0,4.72,4.67,3.23,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:02:19,150.0,4.69,4.67,3.25,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:02:30,151.0,4.59,4.65,3.25,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:02:40,153.0,4.8,4.69,3.28,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:02:51,153.0,4.83,4.7,3.3,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:03:01,157.0,4.78,4.7,3.32,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:03:13,153.0,5.02,4.76,3.36,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:03:23,153.0,5.02,4.77,3.38,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:03:34,153.0,4.93,4.76,3.39,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:03:44,153.0,4.86,4.75,3.4,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:03:55,153.0,4.81,4.74,3.41,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:04:05,153.0,4.92,4.77,3.44,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:04:16,153.0,4.93,4.77,3.46,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:04:26,153.0,4.94,4.78,3.47,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:04:37,153.0,5.02,4.81,3.49,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:04:47,153.0,4.94,4.79,3.51,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:04:58,153.0,4.79,4.77,3.51,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:05:08,154.0,4.91,4.8,3.54,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:05:19,153.0,4.85,4.79,3.55,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
2024-08-24 22:05:29,153.0,4.8,4.78,3.56,31.0,0.0,0.0,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,2
