Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Label,Attack Technique
2024-08-24 21:57:36,0.0,-0.08000000000000007,0.0,0.020000000000000018,0.0,0.0,0.0,4.96,4.51,2.68,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 44818,30003 22,4840 30003",0,0
2024-08-24 21:57:47,0.0,-0.07000000000000028,0.0,0.020000000000000018,0.0,0.0,0.0,4.89,4.51,2.7,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 44818,30003 22,4840 30003",0,0
2024-08-24 21:57:57,2.0,-0.04999999999999982,0.009999999999999787,0.029999999999999805,0.0,0.0,0.0,4.84,4.52,2.73,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:08,0.0,0.33000000000000007,0.08000000000000007,0.04999999999999982,0.0,0.0,0.0,5.17,4.6,2.78,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:18,0.0,-0.03000000000000025,0.010000000000000675,0.020000000000000018,0.0,0.0,0.0,5.14,4.61,2.8,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:29,0.0,-0.08999999999999986,0.0,0.020000000000000018,0.0,0.0,0.0,5.05,4.61,2.82,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:39,0.0,-0.08000000000000007,-0.010000000000000675,0.020000000000000018,0.0,0.0,0.0,4.97,4.6,2.84,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:58:50,0.0,-0.0699999999999994,0.0,0.020000000000000018,0.0,0.0,0.0,4.9,4.6,2.86,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",0,0
2024-08-24 21:59:00,0.0,-0.14000000000000057,-0.019999999999999574,0.010000000000000231,0.0,0.0,0.0,4.76,4.58,2.87,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:11,1.0,0.11000000000000032,0.03000000000000025,0.029999999999999805,0.0,0.0,0.0,4.87,4.61,2.9,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:21,0.0,-0.0600000000000005,0.0,0.020000000000000018,0.0,0.0,0.0,4.81,4.61,2.92,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:32,0.0,-0.11999999999999922,-0.020000000000000462,0.010000000000000231,0.0,0.0,0.0,4.69,4.59,2.93,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:42,0.0,0.040000000000000036,0.009999999999999787,0.020000000000000018,0.0,0.0,0.0,4.73,4.6,2.95,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 21:59:53,0.0,0.1999999999999993,0.05000000000000071,0.040000000000000036,0.0,0.0,0.0,4.93,4.65,2.99,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:03,0.0,-0.13999999999999968,-0.020000000000000462,0.019999999999999574,0.0,0.0,0.0,4.79,4.63,3.01,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:14,0.0,-0.04999999999999982,0.0,0.010000000000000231,0.0,0.0,0.0,4.74,4.63,3.02,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:24,0.0,-0.040000000000000036,-0.009999999999999787,0.020000000000000018,0.0,0.0,0.0,4.7,4.62,3.04,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:34,0.0,0.04999999999999982,0.019999999999999574,0.020000000000000018,0.0,0.0,0.0,4.75,4.64,3.06,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:45,2.0,-0.040000000000000036,-0.009999999999999787,0.020000000000000018,0.0,0.0,0.0,4.71,4.63,3.08,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:00:55,1.0,0.04999999999999982,0.009999999999999787,0.020000000000000018,0.0,0.0,0.0,4.76,4.64,3.1,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:06,0.0,0.20000000000000018,0.05000000000000071,0.029999999999999805,0.0,0.0,0.0,4.96,4.69,3.13,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:16,-1.0,-0.08000000000000007,-0.010000000000000675,0.010000000000000231,0.0,0.0,0.0,4.88,4.68,3.14,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:27,1.0,-0.04999999999999982,0.0,0.020000000000000018,0.0,0.0,0.0,4.83,4.68,3.16,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:37,0.0,-0.04999999999999982,-0.009999999999999787,0.009999999999999787,0.0,0.0,0.0,4.78,4.67,3.17,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:48,0.0,0.040000000000000036,0.020000000000000462,0.03000000000000025,0.0,0.0,0.0,4.82,4.69,3.2,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:01:58,-3.0,0.040000000000000036,0.009999999999999787,0.020000000000000018,0.0,0.0,0.0,4.86,4.7,3.22,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:02:09,1.0,-0.14000000000000057,-0.03000000000000025,0.009999999999999787,0.0,0.0,0.0,4.72,4.67,3.23,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
2024-08-24 22:02:19,1.0,-0.02999999999999936,0.0,0.020000000000000018,0.0,0.0,0.0,4.69,4.67,3.25,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",1,1
