Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
72.9,177.02,0.0,348377088.0,27.0,57.64,125693952.0,64.66,45.64,55.0,553.68,130.54,376.66,0,0,2024-08-29 17:10:07
51.84,130.28,0.0,348377088.0,27.0,51.82,125693952.0,27.86,5.18,55.0,478.54,103.66,348.26,0,0,2024-08-29 17:10:12
62.64,150.12,0.0,348374056.96,27.0,52.2,125696983.04,34.2,12.26,55.0,502.62,114.84,352.5,0,0,2024-08-29 17:10:17
54.4,130.76,0.0,348251340.8,27.0,52.28,125819699.2,30.06,7.6,55.0,477.5,106.68,346.74,0,0,2024-08-29 17:10:22
59.76,141.94,0.0,348237824.0,27.0,52.7,125833216.0,27.54,18.72,55.0,487.94,112.46,346.0,0,0,2024-08-29 17:10:27
51.82,128.8,0.0,348237824.0,27.0,51.44,125833216.0,25.66,8.62,55.0,470.2,103.26,341.4,0,0,2024-08-29 17:10:32
64.08,151.0,0.0,348235776.0,27.0,54.1,125835264.0,33.92,11.86,55.0,499.82,118.18,348.82,0,0,2024-08-29 17:10:37
51.3,132.44,0.0,348233728.0,27.0,52.4,125837312.0,27.64,5.0,55.0,482.58,103.7,350.14,0,0,2024-08-29 17:10:42
59.1,142.84,0.0,348233728.0,27.0,52.44,125837312.0,33.72,11.94,55.0,496.0,111.54,353.16,0,0,2024-08-29 17:10:47
54.5,138.14,0.0,348233728.0,27.0,50.88,125837312.0,29.74,5.62,55.0,483.12,105.38,344.98,0,0,2024-08-29 17:10:52
60.62,144.0,0.0,348233728.0,27.0,57.6,125837312.0,32.3,11.44,55.0,494.68,118.22,350.68,0,0,2024-08-29 17:10:57
72.24,168.5,0.0,348233728.0,27.0,65.86,125837312.0,30.04,8.04,55.0,550.34,138.1,381.84,0,0,2024-08-29 17:11:02
67.16,159.38,0.0,348232826.88,27.0,63.7,125838213.12,51.42,37.56,55.0,532.7,130.86,373.32,0,0,2024-08-29 17:11:07
52.66,129.32,0.0,348229632.0,27.0,57.98,125841408.0,27.92,5.0,55.0,495.7,110.64,366.38,0,0,2024-08-29 17:11:12
63.32,153.5,0.0,348229632.0,27.0,61.38,125841408.0,32.46,9.96,55.0,523.12,124.7,369.62,0,0,2024-08-29 17:11:17
50.38,129.46,0.0,348229632.0,27.0,57.9,125841408.0,29.28,6.24,55.0,480.86,108.28,351.4,0,0,2024-08-29 17:11:22
60.94,151.3,0.0,348229632.0,27.0,61.02,125841408.0,24.88,13.96,55.0,511.98,121.96,360.68,0,0,2024-08-29 17:11:27
50.18,125.6,0.0,348229632.0,27.0,58.4,125841408.0,21.32,19.12,55.0,476.66,108.58,351.06,0,0,2024-08-29 17:11:32
58.24,146.36,0.0,348229632.0,27.0,59.42,125841408.0,29.4,5.64,55.0,505.74,117.66,359.38,0,0,2024-08-29 17:11:37
51.82,128.8,0.0,348225781.76,27.0,57.82,125845258.24,31.6,10.28,55.0,488.44,109.64,359.64,0,0,2024-08-29 17:11:42
54.48,137.72,0.0,348225536.0,27.0,57.68,125845504.0,28.56,5.0,55.0,495.4,112.16,357.68,0,0,2024-08-29 17:11:47
59.0,142.36,0.0,348225536.0,27.0,60.44,125845504.0,28.26,19.46,55.0,512.32,119.44,369.96,0,0,2024-08-29 17:11:52
52.84,128.22,0.0,348225536.0,27.0,58.66,125845504.0,19.76,13.48,55.0,488.4,111.5,360.18,0,0,2024-08-29 17:11:57
83.88,198.2,0.0,348101181.44,27.0,71.92,125969858.56,41.14,23.48,55.0,659.52,155.8,461.32,0,0,2024-08-29 17:12:03
45.18,123.2,0.0,348086272.0,27.0,53.02,125984768.0,43.1,25.9,55.08,536.12,98.2,412.92,0,0,2024-08-29 17:12:07
68.24,156.74,0.0,348083486.72,27.0,54.66,125987553.28,31.48,13.2,56.0,583.6,122.9,426.86,0,0,2024-08-29 17:12:12
68.44,158.34,0.0,348082176.0,27.0,51.22,125988864.0,23.24,10.3,56.0,567.2,119.66,408.86,0,0,2024-08-29 17:12:17
68.14,160.62,0.0,348082176.0,27.0,53.76,125988864.0,33.66,11.6,56.0,578.16,121.9,417.54,0,0,2024-08-29 17:12:22
58.36,142.8,0.0,348082176.0,27.0,52.02,125988864.0,27.74,5.6,56.0,541.24,110.38,398.44,0,0,2024-08-29 17:12:27
73.72,166.56,0.0,348080291.84,27.0,55.7,125990748.16,31.98,13.46,56.0,590.9,129.42,424.34,0,0,2024-08-29 17:12:32
69.04,155.28,0.0,348078080.0,27.0,50.82,125992960.0,28.3,5.04,56.0,566.42,119.86,411.14,0,0,2024-08-29 17:12:38
72.74,169.36,0.0,348078080.0,27.0,54.7,125992960.0,32.12,12.1,56.0,590.02,127.44,420.66,0,0,2024-08-29 17:12:42
64.64,149.28,0.0,348078080.0,27.0,50.96,125992960.0,28.86,5.16,56.0,562.56,115.6,413.28,0,0,2024-08-29 17:12:47
76.48,174.12,0.0,348078080.0,27.0,55.56,125992960.0,33.74,12.54,56.0,606.42,132.04,432.3,0,0,2024-08-29 17:12:52
71.44,161.48,0.0,348078080.0,27.0,52.6,125992960.0,27.34,5.0,56.0,577.6,124.04,416.12,0,0,2024-08-29 17:12:57
96.92,193.36,0.0,348078080.0,27.0,62.82,125992960.0,39.5,19.58,56.0,631.04,159.74,437.68,0,0,2024-08-29 17:13:02
57.68,142.46,0.0,348074065.92,27.0,52.62,125996974.08,47.88,27.08,56.0,477.86,110.3,335.4,0,0,2024-08-29 17:13:07
52.44,126.64,0.0,348073984.0,27.0,50.42,125997056.0,25.34,8.2,56.0,459.26,102.86,332.62,0,0,2024-08-29 17:13:12
62.6,149.42,0.0,348073984.0,27.0,52.54,125997056.0,24.92,20.46,56.0,495.06,115.14,345.64,0,0,2024-08-29 17:13:17
51.92,127.62,0.0,348073984.0,27.0,50.8,125997056.0,27.6,7.34,56.0,469.04,102.72,341.42,0,0,2024-08-29 17:13:22
57.38,142.44,0.0,348073984.0,27.0,52.2,125997056.0,32.92,13.1,56.0,486.18,109.58,343.74,0,0,2024-08-29 17:13:27
49.16,129.86,0.0,348073984.0,27.0,51.88,125997056.0,28.96,5.16,56.0,467.66,101.04,337.8,0,0,2024-08-29 17:13:32
57.66,140.52,0.0,348071116.8,27.0,53.38,125999923.2,33.16,13.14,56.0,482.34,111.04,341.82,0,0,2024-08-29 17:13:37
53.58,131.6,0.0,347936358.4,27.0,53.2,126134681.6,29.58,7.2,56.0,478.18,106.78,346.58,0,0,2024-08-29 17:13:42
61.76,147.76,0.0,347926528.0,27.0,53.98,126144512.0,34.02,12.48,56.0,504.34,115.74,356.58,0,0,2024-08-29 17:13:47
52.4,129.02,0.0,347926528.0,27.0,50.94,126144512.0,29.2,5.0,56.0,464.66,103.34,335.64,0,0,2024-08-29 17:13:52
59.68,144.42,0.0,347924561.92,27.0,57.9,126146478.08,33.04,12.04,56.0,508.62,117.58,364.2,0,0,2024-08-29 17:13:57
74.64,171.3,0.0,347922432.0,27.0,68.28,126148608.0,36.24,14.48,56.0,564.16,142.92,392.86,0,0,2024-08-29 17:14:02
58.62,146.9,0.0,347922432.0,27.0,61.34,126148608.0,48.1,32.98,56.0,581.42,119.96,434.52,0,0,2024-08-29 17:14:07
49.22,123.94,0.0,347922432.0,27.0,58.76,126148608.0,28.22,4.98,56.0,546.0,107.98,422.06,0,0,2024-08-29 17:14:12
53.62,138.84,0.0,347922432.0,27.0,61.08,126148608.0,31.72,10.5,56.0,578.24,114.7,439.4,0,0,2024-08-29 17:14:17
45.16,123.06,0.0,347922432.0,27.0,58.64,126148608.0,29.62,5.88,56.0,560.9,103.8,437.84,0,0,2024-08-29 17:14:22
54.48,140.4,0.0,347921612.8,27.0,60.98,126149427.2,29.8,7.48,56.0,577.58,115.46,437.18,0,0,2024-08-29 17:14:27
46.5,120.2,0.0,347918336.0,27.0,59.64,126152704.0,30.92,8.96,56.0,556.4,106.14,436.2,0,0,2024-08-29 17:14:32
54.34,139.24,0.0,347918336.0,27.0,61.58,126152704.0,23.08,12.96,56.0,584.34,115.92,445.1,0,0,2024-08-29 17:14:37
45.7,121.96,0.0,347918336.0,27.0,57.06,126152704.0,31.02,10.68,56.0,531.86,102.76,409.9,0,0,2024-08-29 17:14:43
54.2,135.44,0.0,347918336.0,27.0,61.46,126152704.0,28.8,5.0,56.0,572.64,115.66,437.2,0,0,2024-08-29 17:14:47
44.14,116.6,0.0,347918336.0,27.0,57.08,126152704.0,33.4,11.8,56.0,534.88,101.22,418.28,0,0,2024-08-29 17:14:52
46.38,120.04,0.0,347918336.0,27.0,56.86,126152704.0,26.98,5.0,56.0,549.0,103.24,428.96,0,0,2024-08-29 17:14:57
78.66,186.42,0.0,347914977.28,27.0,69.2,126156062.72,43.04,27.84,56.0,639.92,147.86,453.5,0,0,2024-08-29 17:15:02
62.6,152.4,0.0,347914240.0,27.0,51.44,126156800.0,32.52,28.6,56.0,549.8,114.04,397.4,0,0,2024-08-29 17:15:07
62.7,142.96,0.0,347914240.0,27.0,51.0,126156800.0,30.54,13.62,56.0,517.48,113.7,374.52,0,0,2024-08-29 17:15:12
52.38,126.22,0.0,347914240.0,27.0,48.26,126156800.0,28.44,5.0,56.0,479.42,100.64,353.2,0,0,2024-08-29 17:15:17
61.34,149.22,0.0,347788902.4,27.0,54.42,126282137.6,35.4,14.6,56.0,506.74,115.76,357.52,0,0,2024-08-29 17:15:22
55.7,138.8,0.0,347774976.0,27.0,50.58,126296064.0,28.9,5.0,56.0,470.46,106.28,331.66,0,0,2024-08-29 17:15:27
58.48,142.44,0.0,347772764.16,27.0,53.26,126298275.84,32.12,12.78,56.0,491.74,111.74,349.3,0,0,2024-08-29 17:15:32
55.84,137.34,0.0,347770880.0,27.0,50.74,126300160.0,28.38,6.2,56.0,470.1,106.58,332.76,0,0,2024-08-29 17:15:37
59.2,152.08,0.0,347770880.0,27.0,59.4,126300160.0,30.84,15.12,56.0,512.0,118.6,359.92,0,0,2024-08-29 17:15:42
52.22,132.54,0.0,347770880.0,27.0,60.16,126300160.0,28.74,4.06,56.0,487.02,112.38,354.48,0,0,2024-08-29 17:15:47
61.04,150.9,0.0,347769569.28,27.0,62.14,126301470.72,32.84,11.6,56.0,519.36,123.18,368.46,0,0,2024-08-29 17:15:52
53.0,133.54,0.0,347766784.0,27.0,62.24,126304256.0,28.28,5.0,56.0,517.58,115.24,384.04,0,0,2024-08-29 17:15:57
78.32,183.06,0.0,347766784.0,27.0,69.76,126304256.0,35.5,14.48,56.0,566.88,148.08,383.82,0,0,2024-08-29 17:16:02
62.58,151.0,0.0,347766784.0,27.0,64.62,126304256.0,44.28,34.16,56.0,515.92,127.2,364.92,0,0,2024-08-29 17:16:07
57.8,145.0,0.0,347766784.0,27.0,61.42,126304256.0,20.92,19.06,56.0,521.86,119.22,376.86,0,0,2024-08-29 17:16:12
53.02,122.08,0.0,347766784.0,27.0,59.86,126304256.0,25.48,14.1,56.0,543.58,112.88,421.5,0,0,2024-08-29 17:16:17
60.46,138.86,0.0,347766538.24,27.0,64.16,126304501.76,30.76,6.38,56.0,577.6,124.62,438.74,0,0,2024-08-29 17:16:22
45.78,118.24,0.0,347762688.0,27.0,57.1,126308352.0,32.06,10.32,56.0,537.04,102.88,418.8,0,0,2024-08-29 17:16:27
53.64,136.3,0.0,347762688.0,27.0,61.64,126308352.0,28.26,5.0,56.0,580.62,115.28,444.32,0,0,2024-08-29 17:16:32
46.22,119.46,0.0,347762688.0,27.0,57.82,126308352.0,33.94,11.58,56.0,534.54,104.04,415.08,0,0,2024-08-29 17:16:37
50.42,128.96,0.0,347762688.0,27.0,58.4,126308352.0,27.6,5.0,56.0,557.68,108.82,428.72,0,0,2024-08-29 17:16:42
55.58,138.5,0.0,347762688.0,27.0,61.18,126308352.0,29.82,16.12,56.0,576.2,116.76,437.7,0,0,2024-08-29 17:16:47
44.8,117.16,0.0,347762688.0,27.0,58.54,126308352.0,28.66,5.2,56.0,531.38,103.34,414.22,0,0,2024-08-29 17:16:53
58.6,146.86,0.0,347759493.12,27.0,60.94,126311546.88,30.08,15.0,56.0,584.04,119.54,437.18,0,0,2024-08-29 17:16:57
81.44,176.54,0.0,347631452.16,27.0,58.64,126439587.84,36.52,15.18,56.0,583.78,140.08,407.24,0,0,2024-08-29 17:17:02
63.1,149.82,0.0,347619328.0,27.0,60.34,126451712.0,47.28,31.78,56.0,515.2,123.44,365.38,0,0,2024-08-29 17:17:07
52.68,129.62,0.0,347619328.0,27.0,58.62,126451712.0,27.7,5.0,56.0,483.68,111.3,354.06,0,0,2024-08-29 17:17:12
57.34,143.46,0.0,347617034.24,27.0,61.56,126454005.76,34.1,12.02,56.0,503.7,118.9,360.24,0,0,2024-08-29 17:17:17
54.04,138.12,0.0,347615232.0,27.0,60.16,126455808.0,28.86,5.22,56.0,503.72,114.2,365.6,0,0,2024-08-29 17:17:22
57.44,140.36,0.0,347615232.0,27.0,61.62,126455808.0,33.02,11.84,56.0,511.1,119.06,370.74,0,0,2024-08-29 17:17:27
52.98,134.46,0.0,347615232.0,27.0,59.46,126455808.0,28.62,5.0,56.0,502.44,112.44,367.98,0,0,2024-08-29 17:17:32
59.56,146.56,0.0,347615232.0,27.0,63.48,126455808.0,34.14,12.2,56.0,546.58,123.04,400.02,0,0,2024-08-29 17:17:37
