Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique
253.0,0.0,0.1499999999999994,0.0499999999999998,0.0299999999999993,0.0,0.0,0.0,5.68,4.95,4.22,"22,443 41120,41121 5345,41123 41124,9001 41100,80 44818,30003 22,4840 30003",54.02,149.9,0.0,348557312.0,26.0,54.64,125513728.0,99.0,12.0,55.0,502.62,108.66,352.72,0,0
264.0,0.0,0.2099999999999999,0.0699999999999994,0.0300000000000002,0.0,0.0,0.0,5.89,5.02,4.25,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",45.44,125.26,0.0,348557312.0,26.0,56.18,125513728.0,99.0,10.0,55.0,451.76,101.62,326.5,0,0
275.0,1.0,0.04,0.0500000000000007,0.0300000000000002,0.0,0.0,0.0,5.93,5.07,4.28,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",64.22,169.94,0.0,348555673.6,26.0,56.98,125515366.4,56.14,69.72,55.0,495.32,121.2,325.38,0,0
285.0,1.0,0.0100000000000006,0.0299999999999993,0.0199999999999995,0.0,0.0,0.0,5.94,5.1,4.3,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",84.94,187.72,0.0,348553216.0,26.0,72.18,125517824.0,99.82,53.62,55.0,559.32,157.12,371.6,0,0
296.0,0.0,0.0099999999999997,0.0300000000000002,0.0099999999999997,0.0,0.0,0.0,5.95,5.13,4.31,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",70.38,164.52,0.0,348552478.72,26.0,66.98,125518561.28,99.0,18.74,55.0,522.52,137.36,358.0,0,0
307.0,0.0,0.1600000000000001,0.0600000000000005,0.0300000000000002,0.0,0.0,0.0,6.11,5.19,4.34,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",69.5,167.26,0.0,348549120.0,26.0,64.58,125521920.0,99.0,14.36,55.0,509.84,134.08,342.58,0,0
317.0,0.0,0.0599999999999996,0.04,0.0300000000000002,0.0,0.0,0.0,6.17,5.23,4.37,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",60.42,144.9,0.0,348548874.24,26.0,62.08,125522165.76,22.12,99.0,55.0,482.7,122.5,337.8,0,0
328.0,1.0,-0.1799999999999997,0.0,0.0,0.0,0.0,0.0,5.99,5.23,4.37,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",53.44,128.56,0.0,348389376.0,27.0,59.22,125681664.0,17.0,10.48,55.0,441.18,112.66,312.62,0,0
338.0,0.0,-0.3100000000000005,-0.0500000000000007,0.0,0.0,0.0,0.0,5.68,5.18,4.37,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",53.5,129.3,0.0,348385280.0,27.0,59.84,125685760.0,22.96,5.16,55.0,461.22,113.34,331.92,0,0
349.0,0.0,-0.1799999999999997,-0.0199999999999995,0.0,0.0,0.0,0.0,5.5,5.16,4.37,"22,443 41120,41121 5345,41123 41124,1000 9001,41100 80,44818 30003,22 4840,30003",51.68,129.36,0.0,348385280.0,27.0,58.42,125685760.0,32.68,16.96,55.0,454.28,110.1,324.92,0,0
