Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
49.56,125.84,0.0,331149312.0,30.0,47.24,142921728.0,17.0,4.48,56.0,438.78,96.8,312.94,1,1,2024-08-24 22:00:12
61.34,150.28,0.0,331149312.0,30.0,47.6,142921728.0,22.84,12.34,56.0,463.54,108.94,313.26,1,1,2024-08-24 22:00:17
48.84,123.1,0.0,331149312.0,30.0,47.5,142921728.0,17.24,6.16,56.0,444.8,96.34,321.7,1,1,2024-08-24 22:00:22
61.84,149.28,0.0,331149148.16,30.0,48.14,142921891.84,25.12,16.32,56.0,468.74,109.98,319.46,1,1,2024-08-24 22:00:27
51.1,128.76,0.0,331145216.0,30.0,46.42,142925824.0,17.0,5.46,56.0,435.3,97.52,306.54,1,1,2024-08-24 22:00:32
60.98,147.08,0.0,331143577.6,30.0,50.32,142927462.4,23.5,12.92,56.0,477.7,111.3,330.62,1,1,2024-08-24 22:00:37
50.3,127.86,0.0,331141120.0,30.0,45.72,142929920.0,19.54,14.0,56.0,434.86,96.02,307.0,1,1,2024-08-24 22:00:42
57.9,142.58,0.0,331141120.0,30.0,48.84,142929920.0,23.56,15.7,56.0,467.3,106.74,324.72,1,1,2024-08-24 22:00:47
52.04,132.44,0.0,331141120.0,30.0,44.84,142929920.0,17.8,7.4,56.0,434.12,96.88,301.68,1,1,2024-08-24 22:00:52
57.48,141.4,0.0,331140464.64,30.0,47.52,142930575.36,22.26,12.2,56.0,455.3,105.0,313.9,1,1,2024-08-24 22:00:57
69.44,161.2,0.0,331137024.0,30.0,55.74,142934016.0,22.76,11.26,56.0,504.42,125.18,343.22,1,1,2024-08-24 22:01:02
71.06,168.04,0.0,331083939.84,30.0,54.7,142987100.16,38.78,32.66,56.0,511.58,125.76,343.54,1,1,2024-08-24 22:01:07
46.56,124.48,0.0,331030528.0,30.0,47.96,143040512.0,22.8,14.8,56.0,409.12,94.52,284.64,1,1,2024-08-24 22:01:12
50.28,134.22,0.0,330997760.0,30.0,48.02,143073280.0,17.86,5.14,56.0,396.36,98.3,262.14,1,1,2024-08-24 22:01:17
43.06,120.8,0.0,330997760.0,30.0,47.32,143073280.0,22.64,10.56,56.0,378.48,90.38,257.68,1,1,2024-08-24 22:01:22
47.82,130.44,0.0,330997760.0,30.0,45.86,143073280.0,19.8,4.6,56.0,381.42,93.68,250.98,1,1,2024-08-24 22:01:27
46.04,130.14,0.0,330994155.52,30.0,47.76,143076884.48,22.84,10.48,56.0,394.66,93.8,264.52,1,1,2024-08-24 22:01:32
