Timestamp,Used Memory (MB) Diff,CPU Load 1 min Diff,CPU Load 5 min Diff,CPU Load 15 min Diff,Disk Usage (%) Diff,TX (MB) Diff,RX (MB) Diff,CPU Load 1 min Actual,CPU Load 5 min Actual,CPU Load 15 min Actual,Open Ports,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique
0.0,0.0,-0.08,0.0,0.02,0.0,0.0,0.0,4.96,4.51,2.68,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 44818,30003 22,4840 30003",56.12,140.2,0.0,331444224.0,30.0,52.02,142626816.0,19.96,18.88,56.0,421.1,108.14,280.9,0,0
11.0,0.0,-0.0700000000000002,0.0,0.02,0.0,0.0,0.0,4.89,4.51,2.7,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 44818,30003 22,4840 30003",59.16,152.0,0.0,331388190.72,30.0,52.82,142682849.28,18.98,7.94,56.0,491.86,111.98,339.86,0,0
21.0,2.0,-0.0499999999999998,0.0099999999999997,0.0299999999999998,0.0,0.0,0.0,4.84,4.52,2.73,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",43.38,128.64,0.0,331309056.0,30.0,46.4,142761984.0,17.32,5.0,56.0,409.7,89.78,281.06,0,0
32.0,0.0,0.33,0.08,0.0499999999999998,0.0,0.0,0.0,5.17,4.6,2.78,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",40.28,121.1,0.0,331304960.0,30.0,45.0,142766080.0,33.54,22.32,56.0,397.1,85.28,276.0,0,0
42.0,0.0,-0.0300000000000002,0.0100000000000006,0.02,0.0,0.0,0.0,5.14,4.61,2.8,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",46.06,136.18,0.0,331304960.0,30.0,48.5,142766080.0,42.86,8.58,56.0,436.06,94.56,299.88,0,0
53.0,0.0,-0.0899999999999998,0.0,0.02,0.0,0.0,0.0,5.05,4.61,2.82,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",42.98,126.86,0.0,331304960.0,30.0,45.68,142766080.0,17.76,5.28,56.0,380.46,88.66,253.6,0,0
63.0,0.0,-0.08,-0.0100000000000006,0.02,0.0,0.0,0.0,4.97,4.6,2.84,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",42.98,120.08,0.0,331300864.0,30.0,44.02,142770176.0,18.7,4.34,56.0,369.02,87.0,248.94,0,0
74.0,0.0,-0.0699999999999994,0.0,0.02,0.0,0.0,0.0,4.9,4.6,2.86,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",47.2,137.32,0.0,331300864.0,30.0,46.74,142770176.0,22.8,11.2,56.0,400.74,93.94,263.42,0,0
84.0,0.0,-0.1400000000000005,-0.0199999999999995,0.0100000000000002,0.0,0.0,0.0,4.76,4.58,2.87,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",63.58,167.86,0.0,331299553.28,30.0,54.5,142771486.72,28.34,16.02,56.0,463.48,118.08,295.62,1,1
95.0,1.0,0.1100000000000003,0.0300000000000002,0.0299999999999998,0.0,0.0,0.0,4.87,4.61,2.9,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",54.06,141.76,0.0,331296768.0,30.0,53.52,142774272.0,20.2,9.54,56.0,409.16,107.58,267.4,1,1
105.0,0.0,-0.0600000000000005,0.0,0.02,0.0,0.0,0.0,4.81,4.61,2.92,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",56.54,148.5,0.0,331296768.0,30.0,54.84,142774272.0,18.02,11.96,56.0,422.62,111.38,274.12,1,1
116.0,0.0,-0.1199999999999992,-0.0200000000000004,0.0100000000000002,0.0,0.0,0.0,4.69,4.59,2.93,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",58.54,144.66,0.0,331194204.16,30.0,55.76,142876835.84,26.4,6.3,56.0,495.2,114.3,350.54,1,1
126.0,0.0,0.04,0.0099999999999997,0.02,0.0,0.0,0.0,4.73,4.6,2.95,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",51.5,127.8,0.0,331153408.0,30.0,47.3,142917632.0,17.52,4.2,56.0,457.62,98.8,329.82,1,1
137.0,0.0,0.1999999999999993,0.0500000000000007,0.04,0.0,0.0,0.0,4.93,4.65,2.99,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",50.82,128.12,0.0,331153408.0,30.0,45.34,142917632.0,18.7,4.14,56.0,434.0,96.16,305.88,1,1
147.0,0.0,-0.1399999999999996,-0.0200000000000004,0.0199999999999995,0.0,0.0,0.0,4.79,4.63,3.01,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",72.74,169.78,0.0,331153408.0,30.0,57.12,142917632.0,28.4,16.48,56.0,517.96,129.86,348.18,1,1
158.0,0.0,-0.0499999999999998,0.0,0.0100000000000002,0.0,0.0,0.0,4.74,4.63,3.02,"22,443 2812,41120 41121,5345 41123,41124 1000,9001 41100,80 6705,44818 30003,22 4840,30003",49.56,125.84,0.0,331149312.0,30.0,47.24,142921728.0,17.0,4.48,56.0,438.78,96.8,312.94,1,1
